Index,Sum,Mult
2,9,18
3,12,24
4,12,24
5,15,30
6,15,30
7,18,36
8,15,30
9,18,36
10,18,36
11,21,42
12,18,36
13,21,42
14,21,42
15,24,48
16,18,36
17,21,42
18,21,42
19,24,48
20,21,42
21,24,48
22,24,48
23,27,54
24,21,42
25,24,48
26,24,48
27,27,54
28,24,48
29,27,54
30,27,54
31,30,60
32,21,42
33,24,48
34,24,48
35,27,54
36,24,48
37,27,54
38,27,54
39,30,60
40,24,48
41,27,54
42,27,54
43,30,60
44,27,54
45,30,60
46,30,60
47,33,66
48,24,48
49,27,54
50,27,54
51,30,60
52,27,54
53,30,60
54,30,60
55,33,66
56,27,54
57,30,60
58,30,60
59,33,66
60,30,60
61,33,66
62,33,66
63,36,72
64,24,48
