Index,Sum,Mult
2,12,24
3,16,32
4,16,32
5,20,40
6,20,40
7,24,48
8,20,40
9,24,48
10,24,48
11,28,56
12,24,48
13,28,56
14,28,56
15,32,64
16,24,48
17,28,56
18,28,56
19,32,64
20,28,56
21,32,64
22,32,64
23,36,72
24,28,56
25,32,64
26,32,64
27,36,72
28,32,64
29,36,72
30,36,72
31,40,80
32,28,56
33,32,64
34,32,64
35,36,72
36,32,64
37,36,72
38,36,72
39,40,80
40,32,64
41,36,72
42,36,72
43,40,80
44,36,72
45,40,80
46,40,80
47,44,88
48,32,64
49,36,72
50,36,72
51,40,80
52,36,72
53,40,80
54,40,80
55,44,88
56,36,72
57,40,80
58,40,80
59,44,88
60,40,80
61,44,88
62,44,88
63,48,96
64,32,64
